text,severity,affected_population,scope,predicted_severity,prediction_confidence
"Surat, Gujarat क्षेत्र में culverts से जुड़ी समस्या सामने आई है। field technicians बताते हैं कि सेवा works for some users but not others और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,CRITICAL,0.44384690067373356
"Dehradun, Uttarakhand क्षेत्र में rural employment से जुड़ी समस्या सामने आई है। drivers बताते हैं कि सेवा is difficult to monitor और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 120
Scope: STATE",LOW,120,STATE,CRITICAL,0.4437312964827411
"Community feedback from Varanasi points to landfill overflow. People say the service is hard to verify from available records, but the reason is not uniform: in this case, low network connectivity. The result is unequal access for people with fewer alternatives. Rather than assume a technology solution, the first question is whether teams can prioritize inspections.
Affected population: 50
Scope: BLOCK",HIGH,50,BLOCK,MEDIUM,0.4434612250796883
"A community report describes groundwater access in Guwahati, Assam. Self-help groups say the service creates queues, particularly during dry season. The operating context is affected by long travel distances, which can result in higher access costs. The immediate task is to redesign the workflow and verify the outcome.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,HIGH,0.4432932326857184
"A community report describes internet access in Kohima, Nagaland. Patients say the service creates queues, particularly during harvest period. The operating context is affected by multiple responsible stakeholders, which can result in greater exposure to avoidable risk. The immediate task is to redesign the workflow and verify the outcome.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,HIGH,0.4430816419042975
"Community feedback from Coimbatore points to e-waste. People say the service creates repeated delays, but the reason is not uniform: in this case, limited field data. The result is longer waiting times. Rather than assume a technology solution, the first question is whether teams can test an offline-capable process.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.443048823540753
"Coimbatore, Tamil Nadu ke agricultural context mein school transport ka issue report hua hai. Drivers bolte hain ki service becomes unreliable after disruption hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect reduced service continuity ke form mein dikhta hai, especially harvest period ke time. First step collect field evidence hona chahiye.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,MEDIUM,0.44284608172751616
"Vadodara, Gujarat क्षेत्र में forest degradation से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा fails intermittently और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर delayed decision-making के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और map the service gap है।
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,HIGH,0.4424891328476337
"A community report describes smart water monitoring in Almora, Uttarakhand. Students say the service is hard to verify from available records, particularly during winter months. The operating context is affected by fragmented records, which can result in longer waiting times. The immediate task is to repair the affected asset and verify the outcome.
Affected population: 10000
Scope: CITY",LOW,10000,CITY,MEDIUM,0.44248513989985405
"Udham Singh Nagar, Uttarakhand ke river-valley context mein buildings ka issue report hua hai. Community volunteers bolte hain ki service is reported inconsistently hai, aur scattered settlements ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially post-disruption recovery ke time. First step repair the affected asset hona chahiye.
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,MEDIUM,0.44211591380034954
"Community feedback from Champawat points to biomedical waste. People say the service creates queues, but the reason is not uniform: in this case, seasonal demand. The result is longer waiting times. Rather than assume a technology solution, the first question is whether teams can evaluate a research prototype.
Affected population: 120
Scope: STATE",LOW,120,STATE,MEDIUM,0.44192827214968683
"A community report describes seasonal shortage in Coimbatore, Tamil Nadu. School staff say the service requires several manual follow-ups, particularly during summer peak. The operating context is affected by long travel distances, which can result in unequal access for people with fewer alternatives. The immediate task is to redesign the workflow and verify the outcome.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,CRITICAL,0.44191134665362214
"Guwahati, Assam क्षेत्र में emergency communication से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा creates queues और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और evaluate a research prototype है।
Affected population: 10000
Scope: CITY",LOW,10000,CITY,MEDIUM,0.4412892709099445
"Vadodara, Gujarat ke river-valley context mein lake health ka issue report hua hai. Municipal workers bolte hain ki service returns after temporary fixes hai, aur fragmented records ki wajah se response stable rakhna difficult hota hai. Iska effect longer waiting times ke form mein dikhta hai, especially monsoon season ke time. First step coordinate the responsible teams hona chahiye.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,HIGH,0.4411174458863629
"Coimbatore, Tamil Nadu क्षेत्र में pedestrian access से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा works for some users but not others और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 800
Scope: DISTRICT",MEDIUM,800,DISTRICT,CRITICAL,0.441103553427826
"Ahmedabad, Gujarat ke agricultural context mein drainage infrastructure ka issue report hua hai. Village representatives bolte hain ki service is reported inconsistently hai, aur seasonal demand ki wajah se response stable rakhna difficult hota hai. Iska effect difficulty planning around the service ke form mein dikhta hai, especially harvest period ke time. First step repair the affected asset hona chahiye.
Affected population: 2500
Scope: WARD",LOW,2500,WARD,MEDIUM,0.44072879882562377
"Community feedback from Guwahati points to footpaths. People say the service is hard to verify from available records, but the reason is not uniform: in this case, fragmented records. The result is additional burden on caregivers. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,CRITICAL,0.44058510342271845
"Community feedback from Kohima points to earthquakes. People say the service has uneven coverage, but the reason is not uniform: in this case, seasonal demand. The result is greater exposure to avoidable risk. Rather than assume a technology solution, the first question is whether teams can coordinate the responsible teams.
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,HIGH,0.440469814766626
"Coimbatore, Tamil Nadu ke river-valley context mein pressure instability ka issue report hua hai. Shopkeepers bolte hain ki service becomes unreliable after disruption hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect higher access costs ke form mein dikhta hai, especially winter months ke time. First step strengthen community reporting hona chahiye.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,CRITICAL,0.4404367637692619
"Uttarkashi, Uttarakhand ke remote context mein drinking-water continuity ka issue report hua hai. Patients bolte hain ki service is hard to verify from available records hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect higher operating effort for local teams ke form mein dikhta hai, especially harvest period ke time. First step prioritize inspections hona chahiye.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,MEDIUM,0.4402231545291657
"A community report describes environmental monitoring in Guwahati, Assam. Tourism workers say the service is reported inconsistently, particularly during monsoon season. The operating context is affected by scattered settlements, which can result in higher access costs. The immediate task is to evaluate a research prototype and verify the outcome.
Affected population: 2500
Scope: WARD",LOW,2500,WARD,MEDIUM,0.4400825791371731
"Chennai, Tamil Nadu ke semi-urban context mein youth employment ka issue report hua hai. Students bolte hain ki service changes sharply by season hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially summer peak ke time. First step review the operating schedule hona chahiye.
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,LOW,0.43995086078838264
"Surat, Gujarat ke semi-urban context mein soil degradation ka issue report hua hai. Market vendors bolte hain ki service works for some users but not others hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect difficulty planning around the service ke form mein dikhta hai, especially holiday period ke time. First step improve follow-up tracking hona chahiye.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,CRITICAL,0.4397228217417203
"Kohima, Nagaland ke urban context mein e-waste ka issue report hua hai. Municipal workers bolte hain ki service has uneven coverage hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect difficulty planning around the service ke form mein dikhta hai, especially monsoon season ke time. First step evaluate a research prototype hona chahiye.
Affected population: 120
Scope: STATE",LOW,120,STATE,MEDIUM,0.4396595391263987
"Kohima, Nagaland क्षेत्र में entrepreneurship से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा has uneven coverage और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर holiday period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,HIGH,0.4396428221369429
"Rudraprayag, Uttarakhand क्षेत्र में STEM facilities से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा requires several manual follow-ups और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.439449378555913
"Guwahati, Assam ke semi-urban context mein flash floods ka issue report hua hai. Community volunteers bolte hain ki service requires several manual follow-ups hai, aur fragmented records ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially summer peak ke time. First step redesign the workflow hona chahiye.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,HIGH,0.43908178927249003
"A community report describes drinking-water continuity in Prayagraj, Uttar Pradesh. Patients say the service has uneven coverage, particularly during summer peak. The operating context is affected by incomplete inventories, which can result in difficulty planning around the service. The immediate task is to collect field evidence and verify the outcome.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,CRITICAL,0.43883754555877375
"Community feedback from Guwahati points to bus availability. People say the service requires several manual follow-ups, but the reason is not uniform: in this case, fragmented records. The result is additional burden on caregivers. Rather than assume a technology solution, the first question is whether teams can improve follow-up tracking.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,CRITICAL,0.43851890125398535
"Ahmedabad, Gujarat ke industrial context mein drinking-water continuity ka issue report hua hai. Drivers bolte hain ki service creates queues hai, aur incomplete inventories ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially peak visitor period ke time. First step evaluate a research prototype hona chahiye.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,MEDIUM,0.43809980788089964
"Vadodara, Gujarat क्षेत्र में air pollution से जुड़ी समस्या सामने आई है। school staff बताते हैं कि सेवा becomes unpredictable at peak times और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.4380475094859843
"Chennai, Tamil Nadu क्षेत्र में earthquakes से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा returns after temporary fixes और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.4379243095401105
"Vadodara, Gujarat क्षेत्र में youth employment से जुड़ी समस्या सामने आई है। drivers बताते हैं कि सेवा fails intermittently और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और coordinate the responsible teams है।
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,HIGH,0.43745269006067056
"Community feedback from Kohima points to rural mobility. People say the service changes sharply by season, but the reason is not uniform: in this case, limited staffing. The result is longer waiting times. Rather than assume a technology solution, the first question is whether teams can reorganize collection or service routes.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,CRITICAL,0.4372563313346735
"Pithoragarh, Uttarakhand क्षेत्र में distribution inequality से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा has uneven coverage और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और establish a clearer escalation path है।
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,HIGH,0.4372259276949141
"Community feedback from Pauri Garhwal points to pedestrian access. People say the service has uneven coverage, but the reason is not uniform: in this case, multiple responsible stakeholders. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can repair the affected asset.
Affected population: 120
Scope: STATE",LOW,120,STATE,MEDIUM,0.4370812196779445
"A community report describes apprenticeship access in Haridwar, Uttarakhand. Field technicians say the service creates repeated delays, particularly during monsoon season. The operating context is affected by limited field data, which can result in greater exposure to avoidable risk. The immediate task is to coordinate the responsible teams and verify the outcome.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.43688304169288944
"Surat, Gujarat ke rural context mein freight movement ka issue report hua hai. Commuters bolte hain ki service has uneven coverage hai, aur paper-heavy workflows ki wajah se response stable rakhna difficult hota hai. Iska effect delayed decision-making ke form mein dikhta hai, especially dry season ke time. First step improve follow-up tracking hona chahiye.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,CRITICAL,0.43669439990982745
"A community report describes source contamination in Prayagraj, Uttar Pradesh. Shopkeepers say the service is hard to verify from available records, particularly during monsoon season. The operating context is affected by variable resource availability, which can result in greater exposure to avoidable risk. The immediate task is to collect field evidence and verify the outcome.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,CRITICAL,0.4364063348551376
"Guwahati, Assam ke urban context mein seasonal shortage ka issue report hua hai. Local employers bolte hain ki service becomes unpredictable at peak times hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect higher operating effort for local teams ke form mein dikhta hai, especially ordinary operating days ke time. First step map the service gap hona chahiye.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,HIGH,0.4360891534155637
"Kohima, Nagaland क्षेत्र में environmental monitoring से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा has uneven coverage और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,CRITICAL,0.4360230824055767
"Community feedback from Coimbatore points to landfill overflow. People say the service becomes unreliable after disruption, but the reason is not uniform: in this case, long travel distances. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can test an offline-capable process.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,MEDIUM,0.43482424832368377
"Community feedback from Kohima points to plastic waste. People say the service creates queues, but the reason is not uniform: in this case, limited staffing. The result is difficulty planning around the service. Rather than assume a technology solution, the first question is whether teams can reorganize collection or service routes.
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,CRITICAL,0.43433934433718385
"Guwahati, Assam क्षेत्र में parking से जुड़ी समस्या सामने आई है। school staff बताते हैं कि सेवा works for some users but not others और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और pilot a monitoring process है।
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,LOW,0.4342786181776226
"A community report describes community taps in Prayagraj, Uttar Pradesh. Frontline workers say the service returns after temporary fixes, particularly during school term. The operating context is affected by seasonal demand, which can result in difficulty planning around the service. The immediate task is to collect field evidence and verify the outcome.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,CRITICAL,0.4338999802143638
"Udham Singh Nagar, Uttarakhand क्षेत्र में urban heat से जुड़ी समस्या सामने आई है। patients बताते हैं कि सेवा changes sharply by season और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 120
Scope: STATE",LOW,120,STATE,CRITICAL,0.4324833310816713
"Gorakhpur, Uttar Pradesh ke rural context mein e-waste ka issue report hua hai. Caregivers bolte hain ki service creates repeated delays hai, aur fragmented records ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially school term ke time. First step verify field conditions hona chahiye.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,MEDIUM,0.432432975086826
"A community report describes distribution inequality in Vadodara, Gujarat. Public transport users say the service fails intermittently, particularly during post-disruption recovery. The operating context is affected by variable resource availability, which can result in higher access costs. The immediate task is to map the service gap and verify the outcome.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.4323648923143329
"Dehradun, Uttarakhand ke border-region context mein dropout risk ka issue report hua hai. Students bolte hain ki service changes sharply by season hai, aur fragmented records ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially school term ke time. First step map the service gap hona chahiye.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.43235201934823336
"Prayagraj, Uttar Pradesh क्षेत्र में bridges से जुड़ी समस्या सामने आई है। community volunteers बताते हैं कि सेवा is difficult to monitor और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और collect field evidence है।
Affected population: 10000
Scope: CITY",LOW,10000,CITY,CRITICAL,0.43196008357425236
"A community report describes skill gaps in Surat, Gujarat. Tourism workers say the service becomes unreliable after disruption, particularly during monsoon season. The operating context is affected by low network connectivity, which can result in higher access costs. The immediate task is to reorganize collection or service routes and verify the outcome.
Affected population: 10000
Scope: CITY",LOW,10000,CITY,CRITICAL,0.4319277596308945
"A community report describes women employment in Prayagraj, Uttar Pradesh. Field technicians say the service becomes unpredictable at peak times, particularly during harvest period. The operating context is affected by long travel distances, which can result in reduced service continuity. The immediate task is to evaluate a research prototype and verify the outcome.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,LOW,0.4319164516963228
"A community report describes local enterprise in Uttarkashi, Uttarakhand. Local employers say the service changes sharply by season, particularly during holiday period. The operating context is affected by limited staffing, which can result in greater exposure to avoidable risk. The immediate task is to evaluate a research prototype and verify the outcome.
Affected population: 800
Scope: DISTRICT",MEDIUM,800,DISTRICT,LOW,0.43173293490710063
"Lucknow, Uttar Pradesh ke semi-urban context mein hill transport ka issue report hua hai. Market vendors bolte hain ki service is hard to verify from available records hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially dry season ke time. First step coordinate the responsible teams hona chahiye.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,MEDIUM,0.43170059560321894
"A community report describes accessibility in Surat, Gujarat. Field technicians say the service causes avoidable travel, particularly during ordinary operating days. The operating context is affected by fragmented records, which can result in lost productive time. The immediate task is to improve follow-up tracking and verify the outcome.
Affected population: 300
Scope: VILLAGE",MEDIUM,300,VILLAGE,CRITICAL,0.43161792196993837
"Tehri Garhwal, Uttarakhand ke pilgrimage context mein groundwater access ka issue report hua hai. Tourism workers bolte hain ki service works for some users but not others hai, aur scattered settlements ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially holiday period ke time. First step coordinate the responsible teams hona chahiye.
Affected population: 300
Scope: VILLAGE",MEDIUM,300,VILLAGE,HIGH,0.4313674361751535
"A community report describes irrigation-water access in Udham Singh Nagar, Uttarakhand. Field technicians say the service lacks timely status information, particularly during monsoon season. The operating context is affected by reactive maintenance, which can result in higher access costs. The immediate task is to coordinate the responsible teams and verify the outcome.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,HIGH,0.4311551340663158
"A community report describes community taps in Almora, Uttarakhand. Drivers say the service is difficult to monitor, particularly during holiday period. The operating context is affected by limited staffing, which can result in lost productive time. The immediate task is to pilot a monitoring process and verify the outcome.
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,LOW,0.4308120821374816
"A community report describes dropout risk in Kohima, Nagaland. Residents say the service has uneven coverage, particularly during post-disruption recovery. The operating context is affected by limited staffing, which can result in lost productive time. The immediate task is to repair the affected asset and verify the outcome.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,MEDIUM,0.43066113880302026
"Community feedback from Agra points to hospital infrastructure. People say the service is reported inconsistently, but the reason is not uniform: in this case, limited field data. The result is difficulty planning around the service. Rather than assume a technology solution, the first question is whether teams can improve follow-up tracking.
Affected population: 50
Scope: BLOCK",HIGH,50,BLOCK,CRITICAL,0.4303887470519113
"Community feedback from Varanasi points to construction debris. People say the service is difficult to monitor, but the reason is not uniform: in this case, incomplete inventories. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 300
Scope: VILLAGE",LOW,300,VILLAGE,CRITICAL,0.4302313689978857
"Kohima, Nagaland क्षेत्र में air pollution से जुड़ी समस्या सामने आई है। students बताते हैं कि सेवा fails intermittently और limited field data के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 120
Scope: STATE",HIGH,120,STATE,CRITICAL,0.4300193468460712
"Community feedback from Kohima points to earthquakes. People say the service fails intermittently, but the reason is not uniform: in this case, incomplete inventories. The result is difficulty planning around the service. Rather than assume a technology solution, the first question is whether teams can redesign the workflow.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,HIGH,0.4299205725232381
"Vadodara, Gujarat ke semi-urban context mein recycling ka issue report hua hai. Market vendors bolte hain ki service creates queues hai, aur scattered settlements ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially school term ke time. First step test an offline-capable process hona chahiye.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,HIGH,0.429740969548948
"Kohima, Nagaland ke river-valley context mein vocational training ka issue report hua hai. Tourism workers bolte hain ki service becomes unpredictable at peak times hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially summer peak ke time. First step verify field conditions hona chahiye.
Affected population: 300
Scope: VILLAGE",LOW,300,VILLAGE,MEDIUM,0.42965918979790274
"Community feedback from Varanasi points to household waste collection. People say the service changes sharply by season, but the reason is not uniform: in this case, reactive maintenance. The result is longer waiting times. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 120
Scope: STATE",LOW,120,STATE,CRITICAL,0.42947874176228457
"Community feedback from Pauri Garhwal points to emergency communication. People say the service returns after temporary fixes, but the reason is not uniform: in this case, long travel distances. The result is difficulty planning around the service. Rather than assume a technology solution, the first question is whether teams can map the service gap.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.4289424035725936
"Coimbatore, Tamil Nadu क्षेत्र में water conservation से जुड़ी समस्या सामने आई है। residents बताते हैं कि सेवा lacks timely status information और low network connectivity के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर greater exposure to avoidable risk के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,CRITICAL,0.4284158955986023
"Guwahati, Assam ke urban context mein women employment ka issue report hua hai. Municipal workers bolte hain ki service fails intermittently hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect delayed decision-making ke form mein dikhta hai, especially holiday period ke time. First step repair the affected asset hona chahiye.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,MEDIUM,0.4283909649552102
"Kohima, Nagaland ke urban context mein parking ka issue report hua hai. Municipal workers bolte hain ki service creates queues hai, aur paper-heavy workflows ki wajah se response stable rakhna difficult hota hai. Iska effect higher access costs ke form mein dikhta hai, especially holiday period ke time. First step prioritize inspections hona chahiye.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,MEDIUM,0.4279731302905699
"Community feedback from Chamoli points to household waste collection. People say the service creates repeated delays, but the reason is not uniform: in this case, limited field data. The result is higher access costs. Rather than assume a technology solution, the first question is whether teams can strengthen community reporting.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,LOW,0.4278666235068072
"Dehradun, Uttarakhand क्षेत्र में accessibility से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा creates repeated delays और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।
Affected population: 10000
Scope: CITY",CRITICAL,10000,CITY,MEDIUM,0.427631011849119
"Kohima, Nagaland ke industrial context mein plastic waste ka issue report hua hai. School staff bolte hain ki service creates queues hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially post-disruption recovery ke time. First step redesign the workflow hona chahiye.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,HIGH,0.4273556796861723
"Haridwar, Uttarakhand क्षेत्र में route planning से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा requires several manual follow-ups और fragmented records के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और improve follow-up tracking है।
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,CRITICAL,0.4272165466772354
"A community report describes environmental monitoring in Ahmedabad, Gujarat. Small businesses say the service is hard to verify from available records, particularly during monsoon season. The operating context is affected by incomplete inventories, which can result in higher operating effort for local teams. The immediate task is to pilot a monitoring process and verify the outcome.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,MEDIUM,0.4271576145473738
"Vadodara, Gujarat क्षेत्र में parking से जुड़ी समस्या सामने आई है। public transport users बताते हैं कि सेवा is reported inconsistently और paper-heavy workflows के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.42707131906092777
